,neg,neu,pos,compound
rt sukadisiniaja citayam fashion week fujifilm id fujifilmx us xt amp sigma mmf sigma photo fujifilm fujifilm xseries scbd c,0.0,1.0,0.0,0.0
citayam fashion week cak imin pemprov dki jakarta perhati remaja scbd zebra cross citayam fashion week larang ketua pkb cak imin pemrov dki perhati sedia httpstcotoluxwsd,0.0,1.0,0.0,0.0
ridwan kamil dukung citayam fashion week syarat ridwankamil citayamfashionweek scbd lengkap httpstcohzjykkeixh via youtube,0.0,1.0,0.0,0.0
rt sedangtidur scbd citayam fashion week httpstcocslthoei,0.0,1.0,0.0,0.0
nih rapper ga laku dalem hati buset keren banget gue ngerap tantang lgbt scbd citayam fashion week biar musnah gue suci mantep httpstcofrejpomc,0.0,1.0,0.0,0.0
puan maharani apresiasi kreatifitas anak muda citayam fashion weekpuanmaharani scbd cfw citayamfashionweek jakarta trending opsimediatv httpstcoudjvnluzfd,0.0,1.0,0.0,0.0
street fashion lopor remaja daerah sangga jakarta sudirman citayam bojong gede depok scbd remaja sebut street fashion nama citayam fashion week cfw unik keren banget ya,0.0,1.0,0.0,0.0
rt detikcom citayam fashion week muncul ide remaja juluk scbd giat viral ancam serobot kaum duit wadu,0.0,1.0,0.0,0.0
mari bahas citayam fashion week dorong ruang publik akses transportasi bagus jam dapat merchandise eksklusif scbd kumparanplus ya httpstcolgyvzcmijk httpstcolcthxutsv,0.0,1.0,0.0,0.0
rt liputandotcom tampak sepi lokasi citayam fashion week jaga polisi polisi larang fashion show menggu,0.0,1.0,0.0,0.0
cas ni maaf banget bom muncul keburu citayem fashion week dibubarin anjir huhuhu batal ygy udah dibubarin scbd gagal ngonten httpstcozhximwnvk,0.0,1.0,0.0,0.0
citayam fashion week muncul ide remaja juluk scbd giat viral ancam serobot kaum duit httpstcojgomabzdt,0.0,1.0,0.0,0.0
faktafakta giur cuan citayam fashion week merek rebut lengkap klik link kumpar bio httpstcohfvcbvwtnp citayam citayamfashionweek cfw dukuhatas haradukuh scbd baimwong jaksel jakarta pjnews pandang pandanganjogja httpstcoufmiiusxjm,0.0,1.0,0.0,0.0
tampak sepi lokasi citayam fashion week jaga polisi polisi larang fashion show zebra crosslokasi ramai penuh remaja scbd dadak sepi zebra cross jaga tugas httpstcowplfckbkp,0.0,1.0,0.0,0.0
tutup detail seru citayam fashion week scbd bonge jeje dkk httpstcocwqrxxw via youtube,0.0,1.0,0.0,0.0
jerangkah gue kangen singkat scbd sih citayam fashion week bilang mati muda moga kalo cfw mati tongkrong gak bubar yee,0.0,1.0,0.0,0.0
untung scbd ngerasain citayam fashion week citayamfashionweek httpstcoodlrpzkudk,0.0,1.0,0.0,0.0
top story pemkot depok abg scbd citayam fashion week warga depok httpstcoqtuqa see more httpstcookxbyshwh,0.0,0.886,0.114,0.2023
gubernur jawa barat jabar m ridwan kamil dukung aktivitas remaja remaja sudirman citayam bojonggede depok scbd kawasan dukuh httpstcohypwrewdb,0.0,1.0,0.0,0.0
rt siregar najeges selamat pagi momen aniesbaswedan ajak jabat uni eropa jalan seberang bak pemuda viral scbd,0.0,1.0,0.0,0.0
remaja scbd bingung nongkrong citayem fashion week dibubarin cobain cussss nari deh tau tauuuuu gahoel tenang aja ajar muda muda httpstcoagvpedec,0.0,1.0,0.0,0.0
rt iluimuinu scbd sudirman citayam bojonggede depok kelompok remaja citayam bojonggede aksi catwalk fashion show d,0.0,1.0,0.0,0.0
rt zoelhelmilubis citayam fashion week kenal uni fashion anak scbd kaget jg baim dftr hak y ampun,0.0,0.838,0.162,0.4404
scbd sudirman central business district sudirman citayam bojonggede depok adu nasib adu outfit citayam fashion week,0.0,1.0,0.0,0.0
mimpi salah tuju wisata medis hal citayam fashion week scbd citayamfashionweek httpstcofsnfbnli,0.0,1.0,0.0,0.0
rt lyndaibrahim gw gak komen apa scbd amp citayam fashion week krn gw organik jd nikmat aja it may,0.0,1.0,0.0,0.0
rt andiraa scbd citayam fashion week haradukuh si themma anyeng httpstcofyivntoor,0.0,1.0,0.0,0.0
rt maspiyuaja dakwah on the street warna citayam fashion week scbd httpstcofnmvqmxpe httpstcowbemhthr,0.0,1.0,0.0,0.0
pemkot depok abg scbd citayam fashion week warga depok httpstcowmmucjvmtr,0.0,1.0,0.0,0.0
mpraldo lgbt kedok fashion week scbd jijik httpstcoejvrrcosqq,0.0,1.0,0.0,0.0
juru parkir scbd citayam fashion week cekcok tugas dishub terima lahan ambil scbd citayamfashionweek dishub parkir lengkap httpstcoufytetzxdy via youtube,0.0,1.0,0.0,0.0
citayam fashion week tutup abg scbd padat dukuh httpstcofvntmgfiu,0.0,1.0,0.0,0.0
mimpi jd anggota money heist trus suruh jd mata mata scbd masuk pake tiket lg goceng krna citayem fashion week,0.0,1.0,0.0,0.0
rt celebdotid fenomena citayam fashion week anggota dewan ingat remaja scbd simpang busana celebritiesdotid info,0.0,1.0,0.0,0.0
jalan jalan scbd cakep eits remin pantun beneran jalan jalan citayem fashion week loh fenomena unik hits banget bicara loh anak muda ekspresi gaya dukuh yuk cek seru video httpstcomigtkxuuug,0.0,1.0,0.0,0.0
sisi gelap citayem fashion weeksedih perintah tolong kamicita httpstcoknaududb via youtube plaza senayan citayam fashion week scbd zebra croos ivan gunawan ajak t noelle liatin jeje httpstcogkfmjqgzf,0.0,1.0,0.0,0.0
bonge anakanak scbd paham daftar citayam fashion week merek baim httpstcotshhtqbb,0.0,1.0,0.0,0.0
baim daftar citayam fashion week hak fasilitas anakanak scbd httpstcotssmkcuyp,0.0,0.756,0.244,0.4404
pt perumnasiida group apresiasi kreatifitas remaja citayam yg gelar citayam fashion week scbd rumah reiwa town dukung httpstcosjaaaboj reiwatown perumnasiidagroup citayamfashionweek citayam for free plazasenayan jaemin ivangunawan httpstcoxyvlqknhhc,0.0,0.891,0.109,0.5106
loker in scbd jakarta selatan in the futures trading company malefemale thth yo fresh graduate d s gt vaccined booster experiencedinexperience send your cv to httpstcorftzpik siang citayam fashion week plaza senayan bunda maria httpstcoggqtspos,0.0,0.876,0.124,0.5267
artis baim resmi cabut daftar hak citayam fashion week kemenkumham tuai pro kontra ban ambil untung citayam fashion week ksc seputarinewsrcti seputarinewspagi baimwong paulaverhoven hak citayamfashionweek scbd httpstcobsxpknhalu,0.105,0.727,0.169,0.296
dapat buddies kait tutup citayam fashion week scbd httpstcocrkjpiwdja,0.0,1.0,0.0,0.0
citayam fashion week scbd resmi tutup jeje bonge roy pindah cfw pik httpstcoysbjrwmsoa,0.0,1.0,0.0,0.0
london zebra cross abbey road yg legendaris beatles foto album jakarta zebra cross scbd citayam fashion week,0.0,1.0,0.0,0.0
fenomena citayam fashion week anggota dewan ingat remaja scbd simpang busana celebritiesdotid infocelebterkini citayamfasionweek scbd httpstcoaitcpmtqo,0.0,1.0,0.0,0.0
perintah daerah gak ajar gak didik event remaja yg citayam fashion week scbd polsek koramil aja gak kasih macet jalan undang orang hp motor hilang lapor kmn,0.0,1.0,0.0,0.0
jeje slebew emosi citayam fashion week kinoy scbd sentil keras httpstcovsfdbppca,0.0,1.0,0.0,0.0
wardhanacakra fashion week scbd mah mending samsat lampu merah zebra cross nya manfaat,0.0,1.0,0.0,0.0
viral video mobil patroli blokade zebra cross scbd netizen citayam fashion week tutup httpstcoezarhihck,0.0,1.0,0.0,0.0
bogor buka citayam fashion week baca lengkap httpstcohkwbbsopd koranjakarta megapolitan bogor citayamfashionweek scbd baim bonge jeje roy fenomena sudirman harajuku japan indonesia news update,0.0,1.0,0.0,0.0
mui duga citayam fashion week scbd susup promosi gera lgbt cfw citayamfashionshow cfwscbd gerakanlgbt lgbt httpstcopsiiipp via youtube,0.0,1.0,0.0,0.0
rt beritasatu cacar monyet indonesia colong jokowi perintah kenapaenggak citayam fashion we,0.0,1.0,0.0,0.0
cacar monyet indonesia colong jokowi perintah kenapaenggak citayam fashion week hak m who baim pagi igun astrid m isya scbd umur forever vaksin imun kuat sarap standar nasional httpstcomniarvrym,0.0,0.9,0.1,0.4404
rt beritapopuler kunjung boeing bappenas bahas kembang industri dirgantara nasional jokowi bappenas kenapaenggak cit,0.0,1.0,0.0,0.0
kunjung boeing bappenas bahas kembang industri dirgantara nasional jokowi bappenas kenapaenggak citayam fashion week hak m tni baim pagi igun astrid isya scbd umur forever perintah sarap standar industry httpstcostjfrtya,0.0,0.906,0.094,0.4404
rt findormeme minggir foto minggir jeje scbd yelling at random people on citayem fashion week celebrity life walking scre,0.0,1.0,0.0,0.0
ceweksukses sopibakhri dsuwono ponakan nama ale yg ngangkat fashion week scbd sedih paman bohong baim konsep fashion hak paten org yg luka paman,0.0,0.884,0.116,0.4404
link httpstcoddbxzouf wa nico maria pjanic dembele baim heaven umur dybala benzema citayam fashion week scbd slotonline situsbolaonline togelonline sabungayam pokerv pkvgames slot situs bola pkv games togel httpstcozjamoqxyl,0.0,0.895,0.105,0.5106
rt beritasatu jokowi temu xi jinping utang indonesia cina susut jokowi ekonomi kenapaenggak citayam fashion week,0.0,1.0,0.0,0.0
jokowi temu xi jinping utang indonesia cina susut jokowi ekonomi kenapaenggak citayam fashion week hak m baim pagi igun astrid m isya scbd umur forever perintah sarap standar lingkung bangun httpstcoddnvmwjsl,0.0,0.906,0.094,0.4404
dennysiregar o bgtu lanjut lugu mu bonge citayam fashion week scbd,0.0,1.0,0.0,0.0
scbd asli sudirman central business district sudirman citayam bojong depok baim citayam fashion week httpstcohkxnphv,0.0,1.0,0.0,0.0
darlaoct cocok rancabolang fashion week anak scbd sap cijawura bodogol derwati,0.0,1.0,0.0,0.0
pks ingat remaja scbd simpang busana httpstcoqllxnqrek,0.0,1.0,0.0,0.0
wagub dki remaja scbd citayam fashion week waspada lgbt wagub dki jakarta awas remaja citayam fashion week tanggung remaja scbd waspada muncul lgbt httpstcovoeiwiwo,0.0,1.0,0.0,0.0
pek elus dada saksi anakanak remaja sudirman citayam bojonggede depok scbd ajang citayam fashion week,0.0,1.0,0.0,0.0
pemprov dki usul atur gelar citayam fashion week dukuh jakarta pusat wakil gubernur dki jakarta ahmad riza patria lengkap httpstcoxwweovxz gtv gtvnews citayamfashionweek scbd pemprovdkijakarta httpstcolawusdis,0.0,1.0,0.0,0.0
citayam fashion week pks ingat remaja scbd simpang busana sindonews bukanberitabiasa httpstcoqllxnrpi,0.0,1.0,0.0,0.0
nunggu scbd citayam fashion week catwalknya bebatuan planet mars httpstcoaqtbjtlyhb,0.0,1.0,0.0,0.0
viral video jeje slebew unjung citayam fashion week zombie omaygat keroyok takut banget httpstcogtyewi sudirman zombie scbd jejeslebew citayamfashionweek prmn pikiranrakyatmedianetwork kolaborasimediapreneurnusantara pikiranrakyat,0.0,1.0,0.0,0.0
salah kang ojek anti dgn acara scbd fashion week gojek dukung acara tsb ekspresi anak mudaremaja segi fashionnya tingkah pola lgbt yg jijik tertib rusak httpstcomhsnejhug,0.084,0.916,0.0,-0.3182
populer artis kota kalah eks fashionista scbd sudiman citayam bojonggede depok intip gaya citayam fashion week httpstcoisegqzbsy,0.0,1.0,0.0,0.0
mui duga citayam fashion week scbd susup promosi gera lgbt anwar abbas salah anakanak httpstcoably,0.0,1.0,0.0,0.0
rt whiskaskiloan tutup mata kreativitas anak muda dsb gua udah lewat klo ganggu hak orang guna jalan,0.0,0.847,0.153,0.4404
citayem fashion week fenomenal youtuber buat konten cari untung pribadi cfwscbd aja ngapain cape keluarin duit gk untung ya ga sih himbau anak scbd jaga aman bersih lingkung,0.0,1.0,0.0,0.0
scbd cat fashion week httpstcofsspee,0.0,1.0,0.0,0.0
rt agis official nauzubiallah minzalik lihat aniesbaswedan saudara anies perintah pemda dkijakarta satpolpp d,0.0,1.0,0.0,0.0
pb semmi apresiasi bubar citayam fashion week scbd httpstcofbseeahlt,0.0,1.0,0.0,0.0
sebenernya gua sih orang orang citayem fashion week tuh kalo scbd mandi nggak sih gua pulang gi jalan st sudirman situ tuh bau gak enak banget udah gitu emang baju lusuh gimana,0.0,1.0,0.0,0.0
citayem fashion week apadah ribet gin udah mending bubarin gak sih huhuhu gak yaudah anakanak nya gak scbd sabtu minggu aja ganggu orang kerja ajaa kawasan padat macet,0.0,1.0,0.0,0.0
hallo guys david scbd citayam fashion week,0.0,1.0,0.0,0.0
faktafakta tarik citayam fashion week kreativitas anak bangsa main fashion baca lengkap httpstcozpmisqau mataindonesia faktaunik citayamfashionweek scbd,0.0,1.0,0.0,0.0
tempodotco komunitas citayem fashion week bilang cari scbd ketemu,0.0,1.0,0.0,0.0
anjay fashion week ga cuman scbd yee rambat daerah lanjut dik adik httpstcoypfbtyj,0.0,1.0,0.0,0.0
rt punya cowo rekomendasi black mamba outfit ramein citayam fashion week scbd thread sadar gak sih viralnya cfw l,0.0,1.0,0.0,0.0
bonge anakanak scbd paham daftar citayam fashion week merek baim httpstconeomzsdp httpstcotjgwrqjsml,0.0,1.0,0.0,0.0
baim daftar citayam fashion week hak fasilitas anakanak scbd httpstcohdtpnyfzsa httpstcoyxepsiwih,0.0,0.775,0.225,0.4404
cursedkidd ni scbd fashion week y,0.0,1.0,0.0,0.0
murtadhaone kalo citayam fashion week asal scbd kalo jatim asal mtsm,0.0,1.0,0.0,0.0
bonge anakanak scbd paham daftar citayam fashion week merek baim httpstcopfzsquhr,0.0,1.0,0.0,0.0
baim daftar citayam fashion week hak fasilitas anakanak scbd httpstcocpapddb,0.0,0.756,0.244,0.4404
bonge anakanak scbd paham daftar citayam fashion week merek baim httpstcovhbbrkpwk,0.0,1.0,0.0,0.0
heboh yah citayem fashion week scbd,0.0,1.0,0.0,0.0
baim daftar citayam fashion week hak fasilitas anakanak scbd httpstcoeqneoexkkj httpstconyfjjqzz,0.0,0.775,0.225,0.4404
baim daftar citayam fashion week hak fasilitas anakanak scbd httpstcoozfiktzj,0.0,0.756,0.244,0.4404
rt cbipictures jungpal wiken tetep scbd fashion week temen alienoid bioskop juli,0.0,1.0,0.0,0.0
baim resmi cabut mohon hak citayam fashion week kemenkumhamscbd citayamfasionweek jakarta baimwong baimpaula opsimediatv httpstcosbtkyadm,0.0,0.828,0.172,0.4404
rt mamora dr buzzer balkot gebu dukung fashion week scbd anies mejeng sana dgn teman bule skrg k,0.0,1.0,0.0,0.0
jeje slebew emosi citayam fashion week kinoy scbd sentil keras httpstcovsfdbpyza,0.0,1.0,0.0,0.0
rt lensartv ramai undang pro kontra media sosial baim indigo aditya putus lepas daftar ha,0.0,0.854,0.146,0.34
changemakers tau citayam fashion week loh kumpul remaja sudirman citayam bogor depok scbd bikin aga busana style unik kawasan dukuh,0.0,1.0,0.0,0.0
kinoy idola citayam fashion week scbd httpstcothvojijww,0.0,1.0,0.0,0.0
bayangin jogja ngadain bambanglipuro fashion week scbd tur concat babarsari depok dibubarin polisi tawur orang timur,0.0,1.0,0.0,0.0
aniesbaswedan ridwankamil mohon perhati aniesbaswedan scbd fashion week ajang kampanye eljibiti terimakasih,0.0,1.0,0.0,0.0
nauzubiallah minzalik lihat aniesbaswedan saudara anies perintah pemda dkijakarta satpolpp dki tertib tulang lunak kaum sodom scbd citayam fashion weekmaka rakyat tdk pilih seorg pimpin rang maksiat httpstcokyoasubfv,0.0,1.0,0.0,0.0
jakarta httpstcotaodcbtx kabar bonge terima uang rp juta baim paula verhoeven ban langsung bongeberitaterkini citayamfasionweek paulabaimwong bonge scbd httpstcoqywbntfsog httpstcoctuhoei,0.159,0.841,0.0,-0.5574
kinoy scbd saing roy jeje slebew citayam fashion week httpstcoadacqawz,0.0,1.0,0.0,0.0
ridwan kamil serang netizen nasihat baim hak citayam fashion week ridwankamil baimwong scbd citayamfashionweek lengkap httpstcocgjbcpbah via youtube,0.0,0.854,0.146,0.4404
emakemak aksi citayam fashion week netizen mak pulang gas habis lengkap cek instagram elganggafm info news berita citayamfashionweek emakemak catwalk aksi fenomena scbd dukuhatas jakarta viral httpstcobrkoriwi,0.0,1.0,0.0,0.0
httpstcovqyksbvml,0.0,1.0,0.0,0.0
httpstconyfghfsu,0.0,1.0,0.0,0.0
rt cnnindonesia remaja scbd respons rencana pindah lokasi citayam fashion week httpstcoavuejiw,0.0,1.0,0.0,0.0
rt dspearl anak muda scbd kritik langkah baim paula citayam fashion week httpstcohezgaucxd,0.0,1.0,0.0,0.0
rt indoposco citayem fashion week fenomena pamer outfit daerah dukuh httpstcolhuyrxyx youtube fyp cit,0.0,1.0,0.0,0.0
rt indonesiaperka miss citayam fashion week scbd bangga kadrun hasil kerja gabener mdy asmara tatakujiyati doktertifa ba,0.091,0.909,0.0,-0.1531
miss citayam fashion week scbd bangga kadrun hasil kerja gabener mdy asmara tatakujiyati doktertifa bachrum achmadi alisyarief musniumar httpstcozntorq,0.082,0.918,0.0,-0.1531
rt infojunaway baim batal klaim hak citayam fashion week citayam fashion week bunda maria wendy dingin m kerja prabowo,0.0,0.854,0.146,0.4404
