,neg,neu,pos,compound
rt romitsut aniesbaswedan orders from dkijakarta local government satpolpp dki orderly soft bones scbd citayam fas,0.0,1.0,0.0,0.0
"Citayam fashion week vs culture domination, bored uniform, culture belonging to sole power, crazy rich, read in full, write soka handinah, httpstcoakyfah citayamfashionweek, scbd, crazy rich, httpstcottjfyunai",0.223,0.579,0.198,0.2732
ale profile sparked by citayam fashion week hanging out scbd citayam fashion week httpstcoskprqdaz,0.0,1.0,0.0,0.0
this is when wuyo joins scbd fashion week httpstcokdvpekbtlk,0.0,1.0,0.0,0.0
catch the wrong camera bts personnel jung kook squatting in the background scbd busy talking sudirman fashion week funfake citayam bojong scbd sudirmanstreet jeje bonge dates roy sudirmanfashionweek scbdfashionweek httpstcowlsbdxxsa,0.097,0.903,0.0,-0.4767
"rt adriansyahyasin, let's discuss Citayam fashion week, encourage public space access t",0.0,0.752,0.248,0.5106
rt herbertsihomb double wins creative soul solution scbd fashion week httpstcowpzpqg,0.0,0.473,0.527,0.836
skyyoursss iyh nichk gwehk mw fashion week scbd,0.0,1.0,0.0,0.0
"Citayam fashion week riding lgbt is very obvious, the original creative scbd child httpstcouqfavbk",0.0,0.687,0.313,0.6666
parking attendant for scbd citayam fashion week bickering over duties of transportation agency to receive land for scbd citayamfashionweek transportation transportation department complete parking httpstcotxcrkips via youtube,0.0,1.0,0.0,0.0
"RT Nabilar Jokowi is responsive & positively supports the Citayam Fashion Week phenomenon in Indonesia, great jokowidod",0.0,0.49,0.51,0.91
rt psi id citayam fashion week community movement sudirman citayam bojonggede depok scbd positive energy perl,0.0,0.711,0.289,0.6908
"reward andika for cooking, supporting reward for thinking, scbd fashion week makes another week jam, but it's already beyond expectations for sustainable cooking, people don't respect the reward for supporting bad thinking",0.166,0.514,0.32,0.7557
scbd citayam fashion week parking attendant bickered over the task of transportation agency to accept httpstcoqgqdvefdg,0.0,0.852,0.148,0.3818
gandimpratama ndagels scbd singaparna ciputri rhino paeh deudeul fashion week,0.0,1.0,0.0,0.0
opportunists behind the citayam fashion weeks intellectual property rights trademark class amp a thread thread citayamfashionweek news opinion isya yurayunita bankbri fact viral trending scbd citayam baimwong newsupdate,0.0,0.845,0.155,0.5574
Baim I event Citayam fashion week youth scbd httpstcolkhmwofzu,0.0,1.0,0.0,0.0
double indonesia wins creative soul solution scbd fashion week httpstcowxcdwmrizi gandaindonesia gandika httpstcoyptoibmm,0.0,0.529,0.471,0.836
rt negrisemarang visit to work jokowi follow me negrisemarang m citayam fashion week scbd prabowo work proof,0.0,1.0,0.0,0.0
scbd citayam fashion week parking attendant bickered over the duty of the transportation agency to accept httpstcomlttmk,0.0,0.86,0.14,0.3818
deputy governor of dki urges youth of scbd citayam fashion week to be alert lgbt voice orders for citayamfashionweek cfw httpstcoivzuzyto,0.0,0.901,0.099,0.296
citayam fashion week closes abg scbd dense hamlet megapolitan citayamfashionweek cfw httpstcoretcqysjwf,0.0,1.0,0.0,0.0
rt didie mpraldo lgbt disguised fashion week scbd disgusted httpstcoejvrrcosqq,0.407,0.593,0.0,-0.6705
double wins creative soul solution scbd fashion week httpstcowpzpqgr gandaindonesia gandika httpstcolbtnmlm,0.0,0.503,0.497,0.836
"shocked that the police closed the location of the Citayam Fashion Week, Jakarta newspaper, closed the Bogor police, Citayamfashionweek, scbd, Baim Bonge, Jeje, Roy, Sudirman, Harajuku, Japan, Indonesia.",0.078,0.922,0.0,-0.3182
citayam fashion week business phenomenon intellectual word polemic citayam fashion week cfw citayam sudirman scbd citayamfashionweek httpstcoposakbmfh,0.0,0.829,0.171,0.5106
Citayam fashion week location closes the base of Citayam Fashion Week Citayam Sudirman Scbd Citayemfashionweek httpstcobvmvauypd,0.0,1.0,0.0,0.0
"there are many fashion trends for Citayam fashion week, Indonesian artists are busy installing Baim Paula, wrong money for scbd celebrity, bonge Rp million",0.119,0.881,0.0,-0.4767
slebew Ratu Citayam scbd boss nudged the text yes bund citayam fashion week auto city artist invited tv show the price of the outfit was horrified httpstcowihwhnf,0.112,0.801,0.087,-0.2023
info hima review room study hima eksyar focus on the issue of review room material times discussing the phenomenon of trend fashion week scbd viral social media trend fashion week theme morality gen z httpstcowvnyuxbfd,0.0,1.0,0.0,0.0
i really feel like the whole citayem fashion weekscbd things just blown wayyy out of proportions in terms of public attention i feel bad for those kids cuz they just wanted to hang at a free amp accessible place,0.082,0.775,0.143,0.3774
citayam fashion week community movement sudirman citayam bojonggede depok scbd positive energy appreciation and support httpstcoytwkhep,0.0,0.506,0.494,0.8934
"clock gadang fashion week case talkative and citayam fashion week scbd but fashionweek is like gin, I have to appreciate httpstcodlvosdudg",0.0,0.726,0.274,0.7783
rt hilmi foto citayam fashion week oiya gaess phenomenon scbd amp cfw sy field of da'wah as,0.0,1.0,0.0,0.0
scbd fashion week isn't there anymore,0.0,1.0,0.0,0.0
rt muslimah news com pk caressed the chest of the witness of the children of teenagers sudirman citayam bojonggede d,0.0,1.0,0.0,0.0
"cool, unique, portrait of the artist, joining the Citayam Fashion Week, scbd, seeing the artist httpstcoxkjihngda",0.0,0.867,0.133,0.3182
"hello friend oyen, see the super cat citayam fashion week, let's supercat citayamfashionweek scbd httpstcoofdavjkw",0.0,0.647,0.353,0.7964
arizapatria eeehhow do you do httpstcocejywyoryl httpstcozwxdtauum,0.0,1.0,0.0,0.0
Citayam fashion week youth event forms a demographic bonus pay attention to Merahputihcom scbd Citayamfashionweek public youth httpstcoaowkheqej,0.07,0.754,0.176,0.4767
"denyspam calls citayam fashion week satirical, tmsk scbd, becomes sudimaracitayam bojonggededepok existence, shows zebra crossing on the sidewalk, then continues to be teenagers who need public space to express their world, who will be the trendsetters in the future to be more creative",0.0,0.929,0.071,0.4927
"RT Leonita Lestari SCBD Jakarta, Riah Tular Madura, Makassar, Tunjung, Surabaya, Kayutangan, Malang, Madiun",0.0,1.0,0.0,0.0
"Thank God, the scbd is closed too, it's done, because it's already benefited the lgbt, and it's good luck, mas Baim pulls out Citayam fashion week, pdhaki wisdom, too, baim blasphemes netizens",0.0,0.66,0.34,0.9169
citayam fashion week scbd httpstcokcybgovs httpstcovvvupjkjt,0.0,1.0,0.0,0.0
jokowi pa jokowi is going to japan fashion week scbd,0.0,1.0,0.0,0.0
aik scroll tiktok see what scbd fashion week if pontianak can be in the list of fashion week,0.0,1.0,0.0,0.0
"rt raviopatra needs an example of behavior, don't ask, just look at social media celebrities and follow the prayer beads",0.0,1.0,0.0,0.0
inspiration scbd citayam fashion week jakarta riah hut ri plans to hold glass mayang fashion street assistant i Pemko Pekanbaru syofaizal wednesday,0.0,0.855,0.145,0.5267
"portraits of young people scbd celebrities holding citayam fashion week, the phenomenon of citayam fashion week successfully steals the attention of the Indonesian people, state media, believers waddling like zebra supermodels httpstcokedfmqur",0.087,0.763,0.15,0.34
"Listen, baba, scbd, doesn't look like the mother, Citayam fashion week, sorry about canceling, really sad httpstcoqvzocfbygd",0.327,0.673,0.0,-0.7006
"I'm a member of the scbd citayam fashion week, a resident of the Depok city government, httpstcovsjjggsl",0.0,1.0,0.0,0.0
"I'm a member of the scbd citayam fashion week, a resident of the Depok city government, httpstcomzrqait",0.0,1.0,0.0,0.0
phenomenon of scbd citayam fashion week httpstcordqtypdyj,0.0,1.0,0.0,0.0
rt opsimedia puan maharani appreciates the creativity of young people Citayam fashion weekpuanmaharani scbd cfw citayamfashionweek jakarta tr,0.0,0.731,0.269,0.7096
rt sukadisiniaja citayam fashion week fujifilm id fujifilmx us xt amp sigma mmf sigma photo fujifilm fujifilm xseries scbd c,0.0,1.0,0.0,0.0
"Citayam fashion week, cak imin, DKI Jakarta Provincial Government, pays attention to scbd youth, zebra cross, Citayam fashion week, prohibits pkb chairman, cak imin, DKI Jakarta provincial government, pays attention to httpstcotoluxwsd",0.0,1.0,0.0,0.0
ridwan kamil supports citayam fashion week conditions ridwankamil citayamfashionweek scbd complete httpstcohzjykkeixh via youtube,0.0,0.839,0.161,0.3612
rt is sleeping scbd citayam fashion week httpst cocaslot,0.0,1.0,0.0,0.0
"this rapper doesn't sell well in my heart, it's really cool, I'm rapping to challenge lgbt scbd citayam fashion week so that it will be destroyed, I'm holy and steady httpstcofrejpomc",0.14,0.752,0.108,-0.278
madam maharani appreciates the creativity of young people Citayam fashion week maharani scbd cfw citayamfashionweek jakarta trending optionsmediatv httpstcoudjvnluzfd,0.0,0.742,0.258,0.7096
"street fashion, youth lopor, jakarta sangga area, sudirman citayam bojong gede, depok scbd, teenagers call street fashion, the name citayam fashion week cfw is very unique, really cool",0.0,0.904,0.096,0.4323
"rt detikcom citayam fashion week the idea of ​​​​a teenager nicknamed scbd goes viral, threatens to steal the wadu money",0.244,0.756,0.0,-0.7003
"Let's discuss Citayam Fashion Week, encourage public space, good transportation access, get exclusive scbd coilplus merchandise, yes httpstcolgyvzcmijk httpstcolcthxutsv",0.0,0.591,0.409,0.8555
"rt liputandotcom looks deserted, the location of the Citayam Fashion Week is guarding the police. The police prohibit the use of fashion shows",0.0,1.0,0.0,0.0
"This case, I'm really sorry, the bomb appeared suddenly, Citayem fashion week was disbanded by anjir, huhuhu, canceled, which was disbanded, scbd failed to upload httpstcozhximwnvk",0.153,0.721,0.125,0.0276
"Citayam fashion week, the idea of ​​​​a teenager nicknamed scbd goes viral, threatens to steal the money httpstcojgomabzdt",0.266,0.734,0.0,-0.7003
"facts, giur cuan citayam fashion week, complete brand grab, click link bio link httpstcohfvcbvwtnp citayam citayamfashionweek cfw dukuhatas haradukuh scbd baimwong jaksel jakarta pjnews view view jogja httpstcoufmiiusxjm",0.0,1.0,0.0,0.0
"it looks deserted, the location of the citayam fashion week is guarding the police, the police prohibits the fashion show, zebra crossing, crowded with teenagers, scbd, suddenly deserted, zebra crossing, on duty httpstcowplfckbkp",0.0,1.0,0.0,0.0
close the exciting details Citayam fashion week scbd bonge jeje et al httpstcocwqrxxw via youtube,0.0,0.814,0.186,0.4939
"jerangkah i miss scbd briefly, but citayam fashion week said to die young, hopefully if cfw dies, it won't be disbanded yee",0.236,0.638,0.126,-0.4767
"fortunately, scbd experienced the citayam fashion week, citayamfashionweek httpstcoodlrpzkudk",0.0,1.0,0.0,0.0
top story depok city government abg scbd citayam fashion week depok residents httpstcoqtuqa see more httpstcookxbyshwh,0.0,0.893,0.107,0.2023
"Governor of West Java, West Java, M. Ridwan Kamil, supports the activities of teenagers, Sudirman, Citayam, Bojonggede, Depok, SCBD, Hamlet area, httpstcohypwrewdb",0.0,0.894,0.106,0.3612
rt siregar najeges good morning moment aniesbaswedan invites the european union to go across the street like a viral scbd youth,0.0,0.769,0.231,0.6597
"scbd teens are confused hanging out Citayam fashion week is disbanded, try cuss and dance, you know, you know, gahoel, just calm down, teach young people httpstcoagvpedec",0.078,0.845,0.078,0.0
rt iluimuinu scbd sudirman citayam bojonggede depok youth group citayam bojonggede catwalk action fashion show d,0.0,1.0,0.0,0.0
rt zoel helmi lubis citayam fashion week acquainted with scbd children's fashion union was surprised too baim signed up for rights oh my gosh,0.0,0.924,0.076,0.2263
scbd sudirman central business district sudirman citayam bojonggede depok adu fate fighting outfit citayam fashion week,0.143,0.857,0.0,-0.3612
dream wrong medical tourism destination hal citayam fashion week scbd citayamfashionweek httpstcofsnfbnli,0.205,0.662,0.132,-0.2732
"rt lyndaibrahim I don't comment on what scbd & citayam fashion week is because I'm organic so it's delicious, maybe",0.0,0.81,0.19,0.6096
rt andira scbd citayam fashion week harajuku on themed anyeng httpstcofyivntoor,0.0,1.0,0.0,0.0
rt maspiyuaja da'wah on the street color citayam fashion week scbd httpstcofnmvqmxpe httpstcowbemhthr,0.0,1.0,0.0,0.0
Depok City Government Abg Scbd Citayam Fashion Week Depok Residents httpstcowmmucjvmtr,0.0,1.0,0.0,0.0
mpraldo lgbt disguised fashion week scbd disgusted httpstcoejvrrcosqq,0.478,0.522,0.0,-0.6705
parking attendant for scbd citayam fashion week bickering over duties of transportation agency to receive land for scbd citayamfashionweek transportation transportation department complete parking httpstcoufytetzxdy via youtube,0.0,1.0,0.0,0.0
Citayam fashion week closes abg scbd dense hamlet httpstcofvntmgfiu,0.0,1.0,0.0,0.0
dream of becoming a member of money heist then ask to be a scbd spy to enter with a ticket lg goceng because of citayem fashion week,0.0,0.92,0.08,0.25
rt celebdotid phenomenon citayam fashion week council members remember youth scbd intersection celebritiesdotid info,0.0,1.0,0.0,0.0
"beautiful scbd walks, eits remin rhymes for real, walking Citayem fashion week, a unique phenomenon that really hits you, young people, hamlet style expressions, let's check out the fun video httpstcomigtkxuuug",0.0,0.795,0.205,0.802
"the dark side of citayam fashion week is sad, orders help kamicita httpst coknau dub via youtube plaza senayan citayam fashion week scbd zebra croos ivan Gunawan invites t noelle to see jeje httpstcogkfmjqgzf",0.084,0.842,0.073,-0.1027
bonge scbd children understand the list of Citayam fashion week brand Baim httpstcotshhtqbb,0.0,1.0,0.0,0.0
baim register citayam fashion week rights for children's facilities scbd httpstcotssmkcuyp,0.0,1.0,0.0,0.0
"PT Perumnasiida Group appreciates the creativity of Citayam teenagers who hold Citayam Fashion Week Scbd, Reiwa Town House, Supports httpstcosjaaaboj Reiwatown Perumnasiidagroup Citayamfashionweek Citayam for free plazasenayan jaemin ivangunawan httpstcoxyvlqknhhc",0.0,0.69,0.31,0.8934
locker in scbd south jakarta in the futures trading company malefemale thth yo fresh graduate d s gt vaccined booster experiencedinexperience send your cv to httpstcorftzpik Siang Citayam fashion week plaza Senayan Bunda Maria httpstcoggqtspos,0.0,0.876,0.124,0.5267
"Baim artists officially revoke the list of rights for Citayam Fashion Week, Ministry of Law and Human Rights, reap the pros and cons of profit-taking, Citayam Fashion Week, KSC, around inewsrcti, around inewspagi, Baimwong, Paulaverhoven, Citayamfashionweek, scbd, httpstcobsxpknhalu",0.0,1.0,0.0,0.0
get buddies hook lid on citayam fashion week scbd httpstcocrkjpiwdja,0.0,1.0,0.0,0.0
citayam fashion week scbd officially closed jeje bonge roy moved to cfw pik httpstcoysbjrwmsoa,0.0,1.0,0.0,0.0
london zebra cross abbey road the legendary beatles photo album jakarta zebra cross scbd citayam fashion week,0.0,1.0,0.0,0.0
the phenomenon of citayam fashion week council members remember teenagers scbd fashion intersection celebritiesdotid infocelebterkini citayamfasionweek scbd httpstcoaitcpmtqo,0.0,1.0,0.0,0.0
"local government is not fair, doesn't teach youth events that are citayam fashion week, scbd, Koramil police, don't give traffic jams, invite people, lost motorbikes, report kmn",0.143,0.804,0.054,-0.3944
jeje slebew emotion citayam fashion week kinoy scbd hard flick httpstcovsfdbppca,0.123,0.877,0.0,-0.1027
"wardhanacakra fashion week scbd, it's better if the zebra cross red light is useful",0.0,0.674,0.326,0.7003
viral video patrol car blockade zebra cross scbd netizen citayam fashion week closed httpstcoezarhihck,0.0,1.0,0.0,0.0
bogor opens citayam fashion week read in full httpst how sopd jakarta megapolitan newspaper bogor citayamfashionweek scbd baim bonge jeje roy phenomenon sudirman harajuku japan indonesia news update,0.0,1.0,0.0,0.0
mui duga citayam fashion week scbd infiltrated promotion of gera lgbt cfw citayamfashionshow cfwscbd movementlgbt lgbt httpstcopsiiipp via youtube,0.0,1.0,0.0,0.0
rt newsone Indonesian monkey smallpox colong jokowi command why not citayam fashion we,0.0,1.0,0.0,0.0
Indonesian monkey pox colong jokowi command why not citayam fashion week rights m who baim morning igun astrid m isya scbd age forever strong immune vaccine sarap national standard httpstcomniarvrym,0.0,0.825,0.175,0.6705
"RT popular news visits Boeing Bappenas to discuss the development of the national aerospace industry, Jokowi, why not Bappenas",0.0,0.865,0.135,0.4215
"visit boeing bappenas to discuss the development of the national aerospace industry, jokowi bappenas why not citayam fashion week rights m tni baim morning igun astrid isya scbd age forever orders breakfast industry standard httpstcostjfrtya",0.0,1.0,0.0,0.0
rt findurmeme step aside jeje scbd yelling at random people on citayam fashion week celebrity life walking scre,0.0,1.0,0.0,0.0
successful girl sopi bakhri suwono nephew ale name who raised fashion week scbd sad uncle lying baim fashion concept patent rights injured person uncle,0.279,0.606,0.115,-0.6597
link httpstcoddbxzouf wa nico maria pjanic dembele baim heaven age dybala benzema citayam fashion week scbd slotonline online lottery site soapgayam pokerv pkvgames slot soccer site pkv games lottery httpstcozjamoqxyl,0.0,0.898,0.102,0.5106
RT Beritasatu Jokowi Meets Xi Jinping Indonesia's China's Debt Decreases Jokowi's Economy Why Not Citayam Fashion Week,0.135,0.865,0.0,-0.3612
jokowi meeting xi jinping Indonesia's debt China shrinking jokowi economy why not citayam fashion week rights m baim morning igun astrid m isya scbd age forever orders breakfast standards wake up httpstcoddnvmwjsl,0.079,0.921,0.0,-0.3612
dennysiregar o so innocent continue your bonge citayam fashion week scbd,0.0,0.77,0.23,0.4005
original scbd sudirman central business district sudirman citayam bojong depok baim citayam fashion week httpstcohkxnphv,0.0,0.859,0.141,0.3182
darlaoct suits rancabolang fashion week children scbd sap cijawura bodogol derwati,0.0,1.0,0.0,0.0
pks remembers youth scbd fashion intersection httpstcoqllxnqrek,0.0,1.0,0.0,0.0
vice governor of dki youth scbd citayam fashion week alert lgbt vice governor of dki jakarta watch out for teenagers citayam fashion week responsibility of teenager scbd alert appears lgbt httpstcovoeiwiwo,0.0,0.868,0.132,0.5267
"pack of chest caressing witnesses, children, teenagers, Sudirman Citayam, Bojonggede, Depok, SCBD, Citayam Fashion Week event",0.0,1.0,0.0,0.0
"DKI Jakarta Provincial Government proposes to arrange the title of Citayam Fashion Week Hamlet, Central Jakarta, Deputy Governor of DKI Jakarta, Ahmad Riza Patria, complete httpstcoxwweovxz gtv gtvnews Citayamfashionweek SCBD DKI Jakarta Provincial Government httpstcolawusdis",0.0,1.0,0.0,0.0
citayam fashion week pks remembers youth scbd fashion intersection sindonews not ordinary news httpstcoqllxnrpi,0.0,1.0,0.0,0.0
waiting for scbd citayam fashion week catwalk for planet mars rocks httpstcoaqtbjtlyhb,0.0,1.0,0.0,0.0
viral video jeje slebew unjung citayam fashion week zombie omaygat was really scared httpstcogtyewi sudirman zombie scbd jejeslebew citayamfashionweek prmn people's mind media network collaboration mediapreneurnusantara minds people,0.106,0.894,0.0,-0.4927
"It's wrong for motorcycle taxis to be against the scbd fashion week event, Gojek supports the event, the expression of young people, teenagers, in terms of fashion, the behavior of the lgbt pattern, which is disgusted, broken, orderly httpstcomhsnejhug",0.204,0.743,0.053,-0.7964
popular city artist lost ex scbd fashionista sudiman citayam bojonggede depok peek at citayam fashion week httpstcoisegqzbsy,0.114,0.746,0.139,0.128
mui duga citayam fashion week scbd infiltrated the promotion of gera lgbt anwar abbas wrong children httpstcoably,0.162,0.838,0.0,-0.4767
"rt whiskaskiloan close your eyes to creativity of young people, etc. I've been through when disturbing people's right to walk",0.138,0.753,0.109,-0.1779
"Citayem fashion week is phenomenal, YouTubers create content for personal profit, cfwscbd, why are you tired of spending money, not profit, do you urge scbd children to keep the environment safe and clean",0.067,0.622,0.311,0.8625
scbd cat fashion week httpstcofsspee,0.0,1.0,0.0,0.0
rt agis official nauzubiallah minzalik see aniesbaswedan brother anies orders dkijakarta local government satpolpp d,0.0,1.0,0.0,0.0
PB Semmi appreciates the disbandment of Citayam Fashion Week SCBD httpstcofbseeahlt,0.0,0.752,0.248,0.5106
"Actually, I'm a person from Citayem Fashion Week, when I take a shower, don't I go home and walk to St. Sudirman, it smells really bad, that's how it is, how about shabby clothes?",0.116,0.884,0.0,-0.5849
"Citayam fashion week, is it complicated like this, is it better to break up, huhuhu or not, it's okay, the children are not scbd, Saturday, Sunday, just disturb people at work, the area is congested with traffic",0.102,0.772,0.126,0.2579
hello guys david scbd citayam fashion week,0.0,1.0,0.0,0.0
"Facts about the attraction of Citayam Fashion Week, the creativity of the nation's children, playing fashion, read in full httpstcozpmisqau mataindonesia, unique facts, Citayamfashionweek scbd",0.0,0.748,0.252,0.7506
"tempodotco, the Citayem Fashion Week community, said looking for scbd, found it",0.0,1.0,0.0,0.0
"anjay fashion week, not just scbd, yee, the area continues to grow, brother httpstcoypfbtyj",0.0,1.0,0.0,0.0
"rt has a guy who recommends black mamba outfit ramein citayam fashion week scbd thread, are you aware of the viral cfw l",0.0,0.913,0.087,0.2263
bonge scbd children understand the list of citayam fashion week brand baim httpstconeomzsdp httpstcotjgwrqjsml,0.0,1.0,0.0,0.0
baim register for citayam fashion week rights for children's facilities scbd httpstcohdtpnyfzsa httpstcoyxepsiwih,0.0,1.0,0.0,0.0
cursedkidd ni scbd fashion week y,0.0,1.0,0.0,0.0
"murtadhaone for Citayam Fashion Week from Scbd, Jatim from MTSM",0.0,1.0,0.0,0.0
bonge scbd children understand the list of Citayam fashion week brand Baim httpstcopfzsquhr,0.0,1.0,0.0,0.0
baim register for citayam fashion week rights for children's facilities scbd httpstcocpapddb,0.0,1.0,0.0,0.0
bonge scbd children understand the list of citayam fashion week brand baim httpstcovhbbrkpwk,0.0,1.0,0.0,0.0
"excited, citayem fashion week scbd",0.0,0.625,0.375,0.34
baim register for citayam fashion week rights for children's facilities scbd httpstcoeqneoexkkj httpstconyfjjqzz,0.0,1.0,0.0,0.0
baim register citayam fashion week rights for children's facilities scbd httpstcoozfiktzj,0.0,1.0,0.0,0.0
rt cbipictures jungpal weekend still scbd fashion week alienoid friends july cinema,0.0,0.78,0.22,0.4767
"Baim officially revoked the rights for Citayam Fashion Week, Ministry of Law and Human Rights, SCBD Citayam Fashion Week, Jakarta, Baimwong Baimpaula Optionsmediatv httpstcosbtkyadm",0.0,1.0,0.0,0.0
rt mamora dr buzzer balkot gebu supports fashion week scbd anies going there with foreign friends now,0.0,0.728,0.272,0.6808
jeje slebew emotion citayam fashion week kinoy scbd hard flick httpstcovsfdbpyza,0.123,0.877,0.0,-0.1027
RT Lensrtv is busy inviting the pros and cons of social media Baim Indigo Aditya breaks up after registering ha,0.0,0.793,0.207,0.5719
"Changemakers know that Citayam Fashion Week gathers teenagers, Sudirman, Citayam, Bogor, Depok, SCBD, to make a unique fashion show in the hamlet area",0.0,1.0,0.0,0.0
kinoy idol citayam fashion week scbd httpstcothvojijww,0.0,1.0,0.0,0.0
imagine jogja to hold bambanglipuro fashion week scbd tour concat babarsari depok disbanded eastern police fight,0.148,0.852,0.0,-0.3818
"aniesbaswedan ridwankamil please pay attention to aniesbaswedan scbd fashion week eljibiti campaign event, thank you",0.077,0.659,0.264,0.5267
"nauzubiallah minzalik, look at Aniesbaswedan, Anies' brother, orders the DKI Jakarta Regional Government Satpolpp DKI to be soft and orderly, the Sodomites, SCBD Citayam Fashion Week, so the people don't vote for someone to lead an immoral group httpstcokyoasubfv",0.073,0.927,0.0,-0.4588
jakarta httpstcotaodcbtx bonge news received rp million baim paula verhoeven direct ban bongeberitalater Citayamfasionweek paulabaimwong bonge scbd httpstcoqywbntfsog httpstcoctuhoei,0.167,0.833,0.0,-0.5574
kinoy scbd competitiveness roy jeje slebew citayam fashion week httpstcoadacqawz,0.0,1.0,0.0,0.0
ridwan kamil attacks netizens advice from baim hak citayam fashion week ridwankamil baimwong scbd citayamfashionweek complete httpstcocgjbcpbah via youtube,0.127,0.746,0.127,0.0
"emakemak acts on Citayam Fashion Week, netizens go home, the gas runs out completely, check Instagram Elganggafm Info News, Citayamfashionweek news, Mamakemak catwalks in action for the scbd phenomenon, Dukuhatas, Jakarta, viral httpstcobrkoriwi",0.0,1.0,0.0,0.0
httpstcovqyksbvml,0.0,1.0,0.0,0.0
httpstconyfghfsu,0.0,1.0,0.0,0.0
rt cnnindonesia teenager scbd response to plan to move location Citayam fashion week httpstcoavuejiw,0.0,1.0,0.0,0.0
rt dspearl young people scbd critique the steps of Baim Paula Citayam fashion week httpstcohezgaucxd,0.0,1.0,0.0,0.0
rt indoposco citayem fashion week phenomenon showing off hamlet outfit httpstcolhuyrxyx youtube fyp cit,0.0,1.0,0.0,0.0
rt indonesiaperka miss citayam fashion week scbd is proud of the work of the governor mdy asmara tatakujiyati doctortifa ba,0.07,0.793,0.137,0.3612
miss citayam fashion week scbd is proud of the work of the governor mdy asmara tatakujiyati doctortifa bachrum achmadi alisyarief musniumar httpstcozntorq,0.065,0.81,0.126,0.3612
rt infojunaway Baim cancels claim rights for Citayam Fashion Week Citayam Fashion Week Mother Maria Wendy is cold m working Prabowo,0.091,0.909,0.0,-0.2263
"rt infojunaway claims pt tiger or not, citayam fashion week, mother Maria wendy is cold, working prabowo, proof a",0.0,1.0,0.0,0.0
"Angry crowd at Citayam Fashion Week traffic jams, man rages at scbd children, gives residents to victims of Bonge Citayamfashionweek SCBD sudirman complete httpstcompwsneh via youtube",0.274,0.726,0.0,-0.8271
rt yuswohady governor anies baswedan knows the term scbd sudirmancitayambogordepok wrong brand element,0.205,0.795,0.0,-0.4767
